OpcodeBytes,OperandBytes,FirstOperandMask,FirstOperandHexDec,FirstOperandSignedUnsigned,SecondOperandMask,SecondOperandHexDec,SecondOperandSignedUnsigned,AssemblyString
01,,,,,,,,"NOP"
06,,,,,,,,"TAP"
07,,,,,,,,"TPA"
08,,,,,,,,"INX"
09,,,,,,,,"DEX"
0A,,,,,,,,"CLV"
0B,,,,,,,,"SEV"
0C,,,,,,,,"CLC"
0D,,,,,,,,"SEC"
0E,,,,,,,,"CLI"
0F,,,,,,,,"SEI"
10,,,,,,,,"SBA"
11,,,,,,,,"CBA"
16,,,,,,,,"TAB"
17,,,,,,,,"TBA"
19,,,,,,,,"DAA"
1B,,,,,,,,"ABA"
20,00,FF,H,S,,,,"BRA ?"
22,00,FF,H,S,,,,"BHI ?"
23,00,FF,H,S,,,,"BLS ?"
24,00,FF,H,S,,,,"BCC ?"
25,00,FF,H,S,,,,"BCS ?"
26,00,FF,H,S,,,,"BNE ?"
27,00,FF,H,S,,,,"BEQ ?"
28,00,FF,H,S,,,,"BVC ?"
29,00,FF,H,S,,,,"BVS ?"
2A,00,FF,H,S,,,,"BPL ?"
2B,00,FF,H,S,,,,"BMI ?"
2C,00,FF,H,S,,,,"BGE ?"
2D,00,FF,H,S,,,,"BLT ?"
2E,00,FF,H,S,,,,"BGT ?"
2F,00,FF,H,S,,,,"BLE ?"
30,,,,,,,,"TSX"
31,,,,,,,,"INS"
32,,,,,,,,"PULA"
33,,,,,,,,"PULB"
34,,,,,,,,"DES"
35,,,,,,,,"TXS"
36,,,,,,,,"PSHA"
37,,,,,,,,"PSHB"
39,,,,,,,,"RTS"
3B,,,,,,,,"RTI"
3E,,,,,,,,"WAI"
3F,,,,,,,,"SWI"
40,,,,,,,,"NEGA"
43,,,,,,,,"COMA"
44,,,,,,,,"LSRA"
46,,,,,,,,"RORA"
47,,,,,,,,"ASRA"
48,,,,,,,,"ASLA"
49,,,,,,,,"ROLA"
4A,,,,,,,,"DECA"
4C,,,,,,,,"INCA"
4D,,,,,,,,"TSTA"
4F,,,,,,,,"CLRA"
50,,,,,,,,"NEGB"
53,,,,,,,,"COMB"
54,,,,,,,,"LSRB"
56,,,,,,,,"RORB"
57,,,,,,,,"ASRB"
58,,,,,,,,"ASLB"
59,,,,,,,,"ROLB"
5A,,,,,,,,"DECB"
5C,,,,,,,,"INCB"
5D,,,,,,,,"TSTB"
5F,,,,,,,,"CLRB"
60,00,FF,H,U,,,,"NEG ?,X"
63,00,FF,H,U,,,,"COM ?,X"
64,00,FF,H,U,,,,"LSR ?,X"
66,00,FF,H,U,,,,"ROR ?,X"
67,00,FF,H,U,,,,"ASR ?,X"
68,00,FF,H,U,,,,"ASL ?,X"
69,00,FF,H,U,,,,"ROL ?,X"
6A,00,FF,H,U,,,,"DEC ?,X"
6C,00,FF,H,U,,,,"INC ?,X"
6D,00,FF,H,U,,,,"TST ?,X"
6E,00,FF,H,U,,,,"JMP ?,X"
6F,00,FF,H,U,,,,"CLR ?,X"
70,0000,FFFF,H,U,,,,"NEG ?"
73,0000,FFFF,H,U,,,,"COM ?"
74,0000,FFFF,H,U,,,,"LSR ?"
76,0000,FFFF,H,U,,,,"ROR ?"
77,0000,FFFF,H,U,,,,"ASR ?"
78,0000,FFFF,H,U,,,,"ASL ?"
79,0000,FFFF,H,U,,,,"ROL ?"
7A,0000,FFFF,H,U,,,,"DEC ?"
7C,0000,FFFF,H,U,,,,"INC ?"
7D,0000,FFFF,H,U,,,,"TST ?"
7E,0000,FFFF,H,U,,,,"JMP ?"
7F,0000,FFFF,H,U,,,,"CLR ?"
80,00,FF,H,U,,,,"SUBA #?"
81,00,FF,H,U,,,,"CMPA #?"
82,00,FF,H,U,,,,"SBCA #?"
84,00,FF,H,U,,,,"ANDA #?"
85,00,FF,H,U,,,,"BITA #?"
86,00,FF,H,U,,,,"LDAA #?"
88,00,FF,H,U,,,,"EORA #?"
89,00,FF,H,U,,,,"ADCA #?"
8A,00,FF,H,U,,,,"ORAA #?"
8B,00,FF,H,U,,,,"ADDA #?"
8C,0000,FFFF,H,U,,,,"CPX #?"
8D,00,FF,H,S,,,,"BSR ?"
8E,0000,FFFF,H,U,,,,"LDS #?"
90,00,FF,H,U,,,,"SUBA ?"
91,00,FF,H,U,,,,"CMPA ?"
92,00,FF,H,U,,,,"SBCA ?"
94,00,FF,H,U,,,,"ANDA ?"
95,00,FF,H,U,,,,"BITA ?"
96,00,FF,H,U,,,,"LDAA ?"
97,00,FF,H,U,,,,"STAA ?"
98,00,FF,H,U,,,,"EORA ?"
99,00,FF,H,U,,,,"ADCA ?"
9A,00,FF,H,U,,,,"ORAA ?"
9B,00,FF,H,U,,,,"ADDA ?"
9C,00,FF,H,U,,,,"CPX ?"
9E,00,FF,H,U,,,,"LDS ?"
9F,00,FF,H,U,,,,"STS ?"
A0,00,FF,H,U,,,,"SUBA ?,X"
A1,00,FF,H,U,,,,"CMPA ?,X"
A2,00,FF,H,U,,,,"SBCA ?,X"
A4,00,FF,H,U,,,,"ANDA ?,X"
A5,00,FF,H,U,,,,"BITA ?,X"
A6,00,FF,H,U,,,,"LDAA ?,X"
A7,00,FF,H,U,,,,"STAA ?,X"
A8,00,FF,H,U,,,,"EORA ?,X"
A9,00,FF,H,U,,,,"ADCA ?,X"
AA,00,FF,H,U,,,,"ORAA ?,X"
AB,00,FF,H,U,,,,"ADDA ?,X"
AC,00,FF,H,U,,,,"CPX ?,X"
AD,00,FF,H,U,,,,"JSR ?,X"
AE,00,FF,H,U,,,,"LDS ?,X"
AF,00,FF,H,U,,,,"STS ?,X"
B0,0000,FFFF,H,U,,,,"SUBA ?"
B1,0000,FFFF,H,U,,,,"CMPA ?"
B2,0000,FFFF,H,U,,,,"SBCA ?"
B4,0000,FFFF,H,U,,,,"ANDA ?"
B5,0000,FFFF,H,U,,,,"BITA ?"
B6,0000,FFFF,H,U,,,,"LDAA ?"
B7,0000,FFFF,H,U,,,,"STAA ?"
B8,0000,FFFF,H,U,,,,"EORA ?"
B9,0000,FFFF,H,U,,,,"ADCA ?"
BA,0000,FFFF,H,U,,,,"ORAA ?"
BB,0000,FFFF,H,U,,,,"ADDA ?"
BC,0000,FFFF,H,U,,,,"CPX ?"
BD,0000,FFFF,H,U,,,,"JSR ?"
BE,0000,FFFF,H,U,,,,"LDS ?"
BF,0000,FFFF,H,U,,,,"STS ?"
C0,00,FF,H,U,,,,"SUBB #?"
C1,00,FF,H,U,,,,"CMPB #?"
C2,00,FF,H,U,,,,"SBCB #?"
C4,00,FF,H,U,,,,"ANDB #?"
C5,00,FF,H,U,,,,"BITB #?"
C6,00,FF,H,U,,,,"LDAB #?"
C8,00,FF,H,U,,,,"EORB #?"
C9,00,FF,H,U,,,,"ADCB #?"
CA,00,FF,H,U,,,,"ORAB #?"
CB,00,FF,H,U,,,,"ADDB #?"
CE,0000,FFFF,H,U,,,,"LDX #?"
D0,00,FF,H,U,,,,"SUBB ?"
D1,00,FF,H,U,,,,"CMPB ?"
D2,00,FF,H,U,,,,"SBCB ?"
D4,00,FF,H,U,,,,"ANDB ?"
D5,00,FF,H,U,,,,"BITB ?"
D6,00,FF,H,U,,,,"LDAB ?"
D7,00,FF,H,U,,,,"STAB ?"
D8,00,FF,H,U,,,,"EORB ?"
D9,00,FF,H,U,,,,"ADCB ?"
DA,00,FF,H,U,,,,"ORAB ?"
DB,00,FF,H,U,,,,"ADDB ?"
DE,00,FF,H,U,,,,"LDX ?"
DF,00,FF,H,U,,,,"STX ?"
E0,00,FF,H,U,,,,"SUBB ?,X"
E1,00,FF,H,U,,,,"CMPB ?,X"
E2,00,FF,H,U,,,,"SBCB ?,X"
E4,00,FF,H,U,,,,"ANDB ?,X"
E5,00,FF,H,U,,,,"BITB ?,X"
E6,00,FF,H,U,,,,"LDAB ?,X"
E7,00,FF,H,U,,,,"STAB ?,X"
E8,00,FF,H,U,,,,"EORB ?,X"
E9,00,FF,H,U,,,,"ADCB ?,X"
EA,00,FF,H,U,,,,"ORAB ?,X"
EB,00,FF,H,U,,,,"ADDB ?,X"
EE,00,FF,H,U,,,,"LDX ?,X"
EF,00,FF,H,U,,,,"STX ?,X"
F0,0000,FFFF,H,U,,,,"SUBB ?"
F1,0000,FFFF,H,U,,,,"CMPB ?"
F2,0000,FFFF,H,U,,,,"SBCB ?"
F4,0000,FFFF,H,U,,,,"ANDB ?"
F5,0000,FFFF,H,U,,,,"BITB ?"
F6,0000,FFFF,H,U,,,,"LDAB ?"
F7,0000,FFFF,H,U,,,,"STAB ?"
F8,0000,FFFF,H,U,,,,"EORB ?"
F9,0000,FFFF,H,U,,,,"ADCB ?"
FA,0000,FFFF,H,U,,,,"ORAB ?"
FB,0000,FFFF,H,U,,,,"ADDB ?"
FE,0000,FFFF,H,U,,,,"LDX ?"
FF,0000,FFFF,H,U,,,,"STX ?"
